radius_um,intensity,time_index
24.86828274114912,761.6675611850579,0
74.60484822344735,755.8173097573198,0
124.3414137057456,694.8381001460104,0
174.07797918804383,642.3701666781723,0
223.81454467034206,595.4174431228452,0
273.5511101526403,530.4015393700979,0
323.2876756349385,374.45623025623024,0
373.0242411172368,231.5258261837523,0
422.760806599535,174.66101710972583,0
472.49737208183325,150.95296185462428,0
522.2339375641315,138.8797606051852,0
571.9705030464297,132.62396392316867,0
621.707068528728,129.45516761546043,0
671.4436340110262,128.58512673749752,0
721.1801994933244,126.60076884645277,0
770.9167649756226,125.70976859343888,0
820.6533304579209,125.29066999673543,0
870.3898959402192,125.9772475444626,0
920.1264614225174,124.55418246372125,0
969.8630269048156,124.08296269807568,0
1019.5995923871138,124.26588200738503,0
1069.336157869412,125.90543996280367,0
1119.0727233517102,125.86030939736781,0
24.86828274114912,870.6938063546587,1
74.60484822344735,842.8511167585367,1
124.3414137057456,765.677918062355,1
174.07797918804383,696.2572121100552,1
223.81454467034206,640.6239963732239,1
273.5511101526403,554.2827140549273,1
323.2876756349385,402.87027852910205,1
373.0242411172368,260.73361681109,1
422.760806599535,195.19194598657242,1
472.49737208183325,166.06715778943888,1
522.2339375641315,149.86429351174604,1
571.9705030464297,140.79737826753714,1
621.707068528728,134.50071830595755,1
671.4436340110262,130.8872536898387,1
721.1801994933244,129.11367084859924,1
770.9167649756226,127.6769480882671,1
820.6533304579209,126.9766219030202,1
870.3898959402192,127.64025203297838,1
920.1264614225174,125.99789449058369,1
969.8630269048156,125.2562970744027,1
1019.5995923871138,125.19150721718698,1
1069.336157869412,126.93548762059747,1
1119.0727233517102,126.95312860771185,1
24.86828274114912,903.1355732073852,2
74.60484822344735,867.7962810508984,2
124.3414137057456,782.9592458988234,2
174.07797918804383,710.3733268901826,2
223.81454467034206,647.7612173560325,2
273.5511101526403,552.3225795430697,2
323.2876756349385,411.6226787520905,2
373.0242411172368,282.3901291040743,2
422.760806599535,210.4993715696863,2
472.49737208183325,177.57967181243518,2
522.2339375641315,159.25747980969084,2
571.9705030464297,147.6926910337777,2
621.707068528728,138.91913098937252,2
671.4436340110262,133.7755653834149,2
721.1801994933244,131.02073387365382,2
770.9167649756226,129.11771183680978,2
820.6533304579209,128.10776871658177,2
870.3898959402192,128.30097000769996,2
920.1264614225174,126.63850605161939,2
969.8630269048156,125.83351585722906,2
1019.5995923871138,125.69994125545485,2
1069.336157869412,127.67307915843311,2
1119.0727233517102,127.67859616716693,2
24.86828274114912,882.4716079862602,3
74.60484822344735,851.3159317059202,3
124.3414137057456,757.4015502877265,3
174.07797918804383,688.4347055710242,3
223.81454467034206,615.3421397979026,3
273.5511101526403,525.205916374232,3
323.2876756349385,403.82748539219125,3
373.0242411172368,290.79510499772715,3
422.760806599535,221.99786523169814,3
472.49737208183325,188.15708016491325,3
522.2339375641315,168.28562225011697,3
571.9705030464297,153.69452568630243,3
621.707068528728,143.2013726193365,3
671.4436340110262,136.79271234053937,3
721.1801994933244,133.14549563302617,3
